iter	Passed	Remaining
163	1132	5771
164	1136	5749
165	1139	5723
166	1142	5700
167	1145	5674
168	1149	5651
169	1153	5630
170	1156	5608
171	1159	5583
172	1163	5562
173	1166	5537
174	1169	5513
175	1172	5489
176	1175	5464
177	1178	5442
178	1181	5420
179	1189	5418
180	1197	5418
181	1217	5471
182	1223	5460
183	1230	5454
184	1236	5446
185	1243	5440
186	1251	5441
187	1254	5417
188	1266	5433
189	1268	5409
190	1272	5389
191	1275	5366
192	1277	5343
193	1280	5320
194	1283	5297
195	1285	5272
196	1288	5252
197	1291	5231
198	1294	5210
199	1297	5188
200	1299	5167
201	1303	5148
202	1306	5128
203	1309	5108
204	1311	5087
205	1314	5068
206	1318	5050
207	1321	5030
208	1324	5012
209	1327	4992
210	1329	4972
211	1332	4953
212	1335	4934
213	1339	4920
214	1342	4901
215	1345	4882
216	1348	4864
217	1350	4846
218	1353	4828
219	1357	4811
220	1360	4794
221	1362	4776
222	1365	4757
223	1368	4740
224	1371	4722
225	1373	4704
226	1376	4688
227	1379	4671
228	1382	4654
229	1385	4638
230	1388	4622
231	1391	4605
232	1394	4589
233	1397	4573
234	1400	4558
235	1403	4542
236	1410	4540
237	1416	4535
238	1422	4528
239	1429	4525
240	1435	4520
241	1439	4508
242	1443	4496
243	1447	4485
244	1450	4470
245	1453	4456
246	1456	4441
247	1459	4426
248	1462	4411
249	1466	4400
250	1472	4393
251	1477	4385
252	1483	4380
253	1488	4372
254	1495	4368
255	1500	4361
256	1507	4357
257	1512	4349
258	1517	4342
259	1523	4336
260	1530	4332
261	1535	4324
262	1541	4321
263	1546	4312
264	1552	4304
265	1558	4300
266	1564	4294
267	1575	4303
268	1580	4295
269	1591	4302
270	1596	4295
271	1612	4317
272	1625	4329
273	1634	4331
274	1648	4345
275	1661	4357
276	1673	4368
277	1679	4360
278	1694	4378
279	1704	4383
280	1711	4379
281	1719	4378
282	1725	4371
283	1733	4371
284	1740	4367
285	1754	4379
286	1759	4370
287	1770	4376
288	1775	4368
289	1783	4367
290	1788	4357
291	1801	4367
292	1804	4353
293	1816	4361
294	1821	4353
295	1829	4351
296	1838	4352
297	1846	4349
298	1851	4340
299	1857	4333
300	1861	4323
301	1864	4310
302	1867	4295
303	1870	4282
304	1874	4271
305	1876	4256
306	1879	4243
307	1882	4229
308	1885	4217
309	1889	4204
310	1892	4193
311	1895	4180
312	1898	4166
313	1902	4156
314	1905	4144
315	1908	4130
316	1911	4117
317	1913	4104
318	1922	4104
319	1925	4091
320	1928	4079
321	1932	4068
322	1939	4065
323	1942	4053
324	1945	4041
325	1949	4030
326	1955	4024
327	1958	4012
328	1962	4003
329	1969	3998
330	1972	3986
331	1975	3975
332	1979	3965
333	1985	3960
334	1988	3947
335	1992	3938
336	1998	3932
337	2002	3921
338	2008	3916
339	2015	3912
340	2020	3905
341	2029	3905
342	2041	3909
343	2044	3898
344	2047	3886
345	2049	3874
346	2055	3868
347	2058	3856
348	2060	3844
349	2063	3832
350	2066	3821
351	2069	3810
352	2073	3800
353	2076	3788
354	2079	3777
355	2082	3767
356	2085	3756
357	2088	3744
358	2091	3733
359	2094	3722
360	2096	3711
361	2100	3701
362	2102	3690
363	2105	3679
364	2108	3668
365	2111	3656
366	2114	3646
367	2117	3636
368	2119	3625
369	2123	3615
370	2126	3604
371	2129	3594
372	2131	3583
373	2134	3573
374	2137	3562
375	2140	3552
376	2143	3542
377	2146	3531
378	2149	3521
379	2152	3511
380	2155	3501
381	2157	3490
382	2161	3481
383	2164	3472
384	2167	3461
385	2171	3454
386	2174	3443
387	2176	3433
388	2180	3425
389	2184	3416
390	2187	3406
391	2195	3405
392	2202	3401
393	2210	3399
394	2220	3400
395	2228	3398
396	2232	3390
397	2234	3380
398	2243	3378
399	2247	3371
400	2250	3361
401	2253	3351
402	2260	3348
403	2262	3338
404	2265	3328
405	2271	3323
406	2276	3316
407	2278	3306
408	2281	3297
409	2286	3290
410	2292	3285
411	2295	3275
412	2297	3265
413	2303	3261
414	2307	3253
415	2310	3243
416	2313	3234
417	2320	3231
418	2324	3222
419	2326	3213
420	2329	3204
421	2337	3201
422	2339	3191
423	2342	3182
424	2348	3177
425	2354	3172
426	2357	3162
427	2360	3155
428	2367	3151
429	2370	3141
430	2373	3133
431	2376	3124
432	2380	3116
433	2383	3107
434	2390	3104
435	2396	3100
436	2402	3095
437	2408	3090
438	2415	3086
439	2418	3077
440	2421	3069
441	2424	3061
442	2429	3054
443	2432	3045
444	2435	3037
445	2438	3028
446	2441	3020
447	2444	3012
448	2447	3003
449	2450	2994
450	2454	2987
451	2457	2978
452	2460	2970
453	2463	2962
454	2467	2955
455	2470	2946
456	2472	2938
457	2475	2930
458	2478	2921
459	2482	2914
460	2486	2907
461	2489	2899
462	2492	2890
463	2496	2883
464	2498	2875
465	2502	2867
466	2505	2859
467	2509	2852
468	2512	2844
469	2515	2836
470	2519	2829
471	2522	2821
472	2525	2813
473	2528	2805
474	2532	2798
475	2534	2790
476	2537	2782
477	2541	2775
478	2544	2767
479	2548	2760
480	2550	2752
481	2553	2744
482	2560	2740
483	2565	2735
484	2572	2731
485	2582	2731
486	2638	2779
487	2647	2778
488	2661	2781
489	2740	2851
490	2751	2852
491	2755	2844
492	2759	2838
493	2796	2864
494	2802	2859
495	2838	2884
496	2869	2904
497	2877	2900
498	2883	2895
499	2887	2887
500	2901	2890
501	2909	2886
502	2919	2885
503	2933	2886
504	2939	2880
505	2946	2876
506	2950	2869
507	2953	2860
508	2957	2852
509	2959	2843
510	2963	2835
511	2967	2828
512	2970	2820
513	2974	2812
514	2977	2803
515	2980	2795
516	2984	2787
517	2989	2781
518	2997	2778
519	3004	2773
520	3011	2769
521	3019	2764
522	3021	2756
523	3025	2748
524	3031	2743
525	3035	2734
526	3038	2726
527	3041	2718
528	3045	2711
529	3049	2704
530	3052	2695
531	3055	2688
532	3059	2680
533	3062	2672
534	3065	2664
535	3069	2656
536	3074	2651
537	3077	2643
538	3083	2636
539	3085	2628
540	3089	2621
541	3094	2614
542	3097	2606
543	3101	2599
544	3104	2591
545	3107	2583
546	3110	2575
547	3113	2567
548	3116	2560
549	3119	2552
550	3123	2545
551	3127	2538
552	3130	2530
553	3133	2522
554	3136	2515
555	3139	2507
556	3142	2499
557	3145	2491
558	3148	2483
559	3151	2476
560	3155	2468
561	3158	2461
562	3161	2454
563	3164	2446
564	3167	2439
565	3171	2432
566	3175	2425
567	3188	2425
568	3202	2425
569	3210	2421
570	3213	2414
571	3218	2408
572	3222	2401
573	3225	2394
574	3228	2386
575	3232	2379
576	3235	2371
577	3238	2364
578	3241	2356
579	3245	2350
580	3248	2342
581	3251	2335
582	3254	2327
583	3257	2320
584	3260	2312
585	3263	2305
586	3266	2298
587	3269	2290
588	3272	2283
589	3275	2276
590	3278	2269
591	3281	2261
592	3285	2254
593	3288	2247
594	3291	2240
595	3294	2233
596	3297	2226
597	3300	2218
598	3303	2211
599	3307	2205
600	3311	2198
601	3313	2190
602	3316	2183
603	3319	2176
604	3323	2169
605	3326	2162
606	3329	2155
607	3332	2148
608	3335	2141
609	3338	2134
610	3341	2127
611	3344	2120
612	3347	2113
613	3350	2106
614	3354	2099
615	3356	2092
616	3359	2085
617	3362	2078
618	3365	2071
619	3369	2065
620	3372	2058
621	3377	2052
622	3384	2047
623	3389	2042
624	3395	2037
625	3401	2032
626	3408	2027
627	3411	2020
628	3415	2014
629	3420	2009
630	3427	2004
631	3432	1998
632	3439	1994
633	3445	1988
634	3455	1986
635	3464	1982
636	3472	1978
637	3480	1975
638	3490	1971
639	3497	1967
640	3506	1963
641	3518	1962
642	3524	1956
643	3535	1954
644	3545	1951
645	3556	1948
646	3567	1946
647	3580	1945
648	3608	1951
649	3622	1950
650	3636	1949
651	3647	1946
652	3652	1940
653	3666	1939
654	3674	1935
655	3681	1930
656	3687	1925
657	3693	1919
658	3699	1914
659	3705	1908
660	3711	1903
661	3718	1898
662	3724	1893
663	3731	1888
664	3739	1883
665	3746	1878
666	3754	1874
667	3762	1869
668	3768	1864
669	3775	1859
670	3805	1866
671	3822	1865
672	3828	1860
673	3834	1854
674	3839	1848
675	3844	1842
676	3850	1837
677	3856	1831
678	3861	1825
679	3865	1819
680	3868	1812
681	3871	1805
682	3874	1798
683	3877	1791
684	3880	1784
685	3884	1777
686	3887	1771
687	3890	1764
688	3893	1757
689	3896	1750
690	3899	1743
691	3902	1737
692	3905	1730
693	3908	1723
694	3912	1716
695	3915	1710
696	3918	1703
697	3921	1696
698	3924	1689
699	3927	1683
700	3930	1676
701	3933	1669
702	3936	1663
703	3940	1656
704	3943	1649
705	3946	1643
706	3949	1636
707	3952	1630
708	3955	1623
709	3959	1617
710	3961	1610
711	3965	1603
712	3972	1598
713	3978	1593
714	3985	1588
715	3992	1583
716	3996	1577
717	3999	1570
718	4005	1565
719	4008	1558
720	4011	1552
721	4014	1545
722	4017	1539
723	4020	1532
724	4023	1526
725	4026	1519
726	4029	1513
727	4032	1506
728	4035	1500
729	4038	1493
730	4042	1487
731	4045	1481
732	4048	1474
733	4051	1468
734	4054	1461
735	4057	1455
736	4060	1448
737	4063	1442
738	4066	1436
739	4069	1429
740	4072	1423
741	4075	1417
742	4079	1410
743	4081	1404
744	4084	1398
745	4087	1391
746	4090	1385
747	4094	1379
748	4097	1373
749	4100	1366
750	4103	1360
751	4106	1354
752	4109	1348
753	4112	1341
754	4115	1335
755	4118	1329
756	4121	1323
757	4125	1316
758	4128	1310
759	4130	1304
760	4133	1298
761	4136	1292
762	4139	1285
763	4143	1279
764	4146	1273
765	4149	1267
766	4156	1262
767	4161	1257
768	4167	1251
769	4175	1247
770	4182	1242
771	4188	1236
772	4193	1231
773	4199	1226
774	4204	1220
775	4210	1215
776	4216	1210
777	4221	1204
778	4228	1199
779	4233	1194
780	4239	1188
781	4245	1183
782	4249	1177
783	4254	1172
784	4258	1166
785	4261	1160
786	4264	1154
787	4267	1148
788	4270	1142
789	4273	1136
790	4276	1130
791	4279	1123
792	4282	1117
793	4285	1111
794	4288	1105
795	4291	1099
796	4294	1093
797	4297	1087
798	4300	1081
799	4302	1075
800	4309	1070
801	4315	1065
802	4322	1060
803	4327	1054
804	4334	1049
805	4340	1044
806	4343	1038
807	4346	1032
808	4349	1026
809	4355	1021
810	4358	1015
811	4361	1009
812	4364	1003
813	4368	998
814	4371	992
815	4374	986
816	4377	980
817	4380	974
818	4383	968
819	4386	962
820	4389	957
821	4392	951
822	4395	945
823	4398	939
824	4401	933
825	4404	927
826	4407	922
827	4410	916
828	4413	910
829	4416	904
830	4420	898
831	4423	893
832	4426	887
833	4429	881
834	4432	875
835	4435	870
836	4439	864
837	4442	858
838	4445	852
839	4448	847
840	4451	841
841	4454	835
842	4457	830
843	4460	824
844	4463	818
845	4466	813
846	4469	807
847	4472	801
848	4475	796
849	4478	790
850	4482	784
851	4485	779
852	4488	773
853	4492	767
854	4495	762
855	4502	757
856	4508	752
857	4515	747
858	4521	742
859	4526	736
860	4529	731
861	4531	725
862	4535	719
863	4540	714
864	4545	709
865	4548	703
866	4551	698
867	4554	692
868	4558	687
869	4561	681
870	4564	676
871	4567	670
872	4570	664
873	4574	659
874	4578	654
875	4581	648
876	4584	642
877	4587	637
878	4590	631
879	4593	626
880	4596	620
881	4600	615
882	4603	609
883	4606	604
884	4610	599
885	4612	593
886	4615	588
887	4619	582
888	4622	577
889	4625	571
890	4628	566
891	4631	560
892	4634	555
893	4637	549
894	4640	544
895	4643	539
896	4646	533
897	4650	528
898	4653	522
899	4656	517
900	4659	511
901	4662	506
902	4665	501
903	4669	495
904	4672	490
905	4675	485
906	4678	479
907	4681	474
908	4688	469
909	4695	464
910	4701	459
911	4707	454
912	4713	449
913	4716	443
914	4719	438
915	4725	433
916	4728	428
917	4731	422
918	4734	417
919	4737	411
920	4740	406
921	4744	401
922	4747	396
923	4750	390
924	4755	385
925	4761	380
926	4766	375
927	4772	370
928	4779	365
929	4784	360
930	4791	355
931	4799	350
932	4804	345
933	4810	339
934	4819	335
935	4824	329
936	4830	324
937	4836	319
938	4842	314
939	4847	309
940	4854	304
941	4859	299
942	4865	294
943	4870	288
944	4883	284
945	4899	279
946	4908	274
947	4911	269
948	4916	264
949	4919	258
950	4922	253
951	4925	248
952	4929	243
953	4932	237
954	4935	232
955	4938	227
956	4941	222
957	4944	216
958	4949	211
959	4952	206
960	4955	201
961	4959	195
962	4961	190
963	4964	185
964	4968	180
965	4972	175
966	4975	169
967	4978	164
968	4982	159
969	4985	154
970	4989	149
971	4992	143
972	4995	138
973	4998	133
974	5001	128
975	5004	123
976	5007	117
977	5010	112
978	5014	107
979	5016	102
980	5019	97
981	5023	92
982	5026	86
983	5029	81
984	5032	76
985	5036	71
986	5039	66
987	5042	61
988	5045	56
989	5047	50
990	5052	45
991	5055	40
992	5058	35
993	5061	30
994	5064	25
995	5067	20
996	5074	15
997	5081	10
998	5088	5
999	5094	0
