iter	RMSE
136	139.9408142
137	139.714841
138	139.4775708
139	139.2193356
140	139.0422357
141	138.9038035
142	138.6172488
143	138.287547
144	138.1336416
145	137.9992236
146	137.8134103
147	137.6759303
148	137.4524649
149	137.1122353
150	136.7840443
151	136.5971578
152	136.5277301
153	136.3575044
154	136.2349504
155	136.1702244
156	136.0207194
157	135.7988275
158	135.578721
159	135.4491499
160	135.3334693
161	135.2685566
162	135.2093052
163	135.0415742
164	134.8414297
165	134.7585195
166	134.5776237
167	134.4699911
168	134.1767391
169	133.9410549
170	133.900785
171	133.6561127
172	133.5603892
173	133.4093652
174	133.2863451
175	133.1430615
176	133.1190127
177	133.0662697
178	132.9658398
179	132.8258998
180	132.7473224
181	132.6981148
182	132.608918
183	132.4381708
184	132.2001082
185	132.0148534
186	131.868112
187	131.7456279
188	131.6005469
189	131.5250576
190	131.2940846
191	131.2551068
192	131.1625259
193	131.1131921
194	130.9806278
195	130.9510687
196	130.7974755
197	130.7267724
198	130.6802998
199	130.5950074
200	130.4632502
201	130.4338751
202	130.3346221
203	130.1590363
204	129.9285197
205	129.8681442
206	129.7675036
207	129.6363524
208	129.6015496
209	129.4625864
210	129.3579172
211	129.2083856
212	129.1378829
213	129.091511
214	129.0354027
215	129.0085184
216	128.8800657
217	128.8369573
218	128.6229132
219	128.3845146
220	128.3656174
221	128.2127901
222	128.1992747
223	128.1380314
224	128.0665763
225	127.9988136
226	127.8233042
227	127.7692607
228	127.6160432
229	127.3755224
230	127.150089
231	127.0918896
232	127.0450399
233	127.0069284
234	126.9249917
235	126.7989713
236	126.7190742
237	126.5667671
238	126.5310869
239	126.4166642
240	126.2755401
241	126.2425129
242	126.1369453
243	126.066427
244	126.0365352
245	125.8780807
246	125.8379256
247	125.8024784
248	125.7731004
249	125.7192371
250	125.6496299
251	125.6250685
252	125.5764838
253	125.5283371
254	125.4526237
255	125.3504908
256	125.2390614
257	125.1714361
258	125.0914694
259	125.0643828
260	125.020613
261	124.9268729
262	124.860307
263	124.8291064
264	124.7857441
265	124.6235001
266	124.5860558
267	124.5434111
268	124.4893417
269	124.4583195
270	124.3990472
271	124.3415476
272	124.2677333
273	124.1581313
274	123.982296
275	123.9286275
276	123.8900779
277	123.7590477
278	123.7174868
279	123.6641399
280	123.622891
281	123.5842211
282	123.5559343
283	123.5158257
284	123.3714501
285	123.3029538
286	123.2299897
287	123.2152815
288	123.1913809
289	123.1291379
290	123.1227154
291	123.0045452
292	122.9659889
293	122.8996411
294	122.8565641
295	122.7553021
296	122.7058473
297	122.6821359
298	122.6073151
299	122.4629409
300	122.4310555
301	122.3006673
302	122.2828129
303	122.2533782
304	122.1850578
305	122.1767194
306	122.0745495
307	122.0048873
308	121.9247263
309	121.8898961
310	121.7846846
311	121.7653518
312	121.7024885
313	121.6592349
314	121.6028648
315	121.5179442
316	121.5100869
317	121.4967819
318	121.4553806
319	121.322807
320	121.2930634
321	121.2302947
322	121.2110121
323	121.158343
324	121.1143917
325	121.1034618
326	121.0957331
327	121.0718165
328	121.0093255
329	120.9886651
330	120.9457497
331	120.9174948
332	120.8762474
333	120.8339817
334	120.8217401
335	120.7712207
336	120.7255195
337	120.6970216
338	120.6706483
339	120.6477068
340	120.6327726
341	120.584181
342	120.5499079
343	120.5212239
344	120.4612553
345	120.3974057
346	120.3870796
347	120.3671727
348	120.3533556
349	120.2980939
350	120.2345998
351	120.2290556
352	120.2076516
353	120.183031
354	120.1429946
355	120.0827864
356	120.0536849
357	120.0487716
358	120.0054824
359	119.9489554
360	119.9286294
361	119.9194928
362	119.8727417
363	119.8205051
364	119.8155555
365	119.7724982
366	119.7445086
367	119.6606575
368	119.6029698
369	119.5737841
370	119.5550821
371	119.5341475
372	119.4815915
373	119.4183344
374	119.413751
375	119.3007151
376	119.2728842
377	119.2555889
378	119.2243884
379	119.194369
380	119.1775975
381	119.0756645
382	119.0070143
383	118.9820295
384	118.97639
385	118.9139771
386	118.9097295
387	118.8956237
388	118.8655638
389	118.7988293
390	118.7681693
391	118.6873896
392	118.6749858
393	118.5694772
394	118.5541164
395	118.5297104
396	118.4556259
397	118.4320886
398	118.4062498
399	118.3801266
400	118.3762353
401	118.3623154
402	118.3365379
403	118.3244845
404	118.2948203
405	118.2235043
406	118.2198209
407	118.2071648
408	118.174272
409	118.1308188
410	118.1187153
411	118.055058
412	118.0311805
413	118.019673
414	118.0087079
415	117.9980793
416	117.9397796
417	117.8698315
418	117.8258111
419	117.8151738
420	117.7922949
421	117.7671215
422	117.7569666
423	117.70188
424	117.6584145
425	117.5915456
426	117.5666812
427	117.5260666
428	117.4849687
429	117.4752293
430	117.4491474
431	117.4459785
432	117.4223049
433	117.3380427
434	117.2939897
435	117.2729662
436	117.2510044
437	117.2479542
438	117.2105222
439	117.2012336
440	117.1770963
441	117.1700593
442	117.1037571
443	117.0949531
444	117.0572689
445	117.0164247
446	116.982035
447	116.9489102
448	116.9348817
449	116.9281777
450	116.9051666
451	116.8986979
452	116.8789694
453	116.8152718
454	116.7622698
455	116.7595492
456	116.7568669
457	116.5800543
458	116.547023
459	116.5200243
460	116.4558537
461	116.4532204
462	116.3915496
463	116.3650262
464	116.3582504
465	116.3364755
466	116.2766332
467	116.2705167
468	116.2323382
469	116.1964004
470	116.1904908
471	116.1880126
472	116.1573713
473	116.1083236
474	116.105892
475	116.0823034
476	116.050859
477	116.0452329
478	116.0120845
479	116.0053533
480	115.9745145
481	115.959563
482	115.9541841
483	115.9333254
484	115.9079834
485	115.8838264
486	115.8667579
487	115.8529931
488	115.8507466
489	115.8443704
490	115.7738227
491	115.7604971
492	115.7117743
493	115.6919043
494	115.634497
495	115.5403996
496	115.5342607
497	115.5182834
498	115.4874947
499	115.4568088
500	115.3964389
501	115.3334022
502	115.2876311
503	115.2682824
504	115.2530299
505	115.2479002
506	115.2290063
507	115.1465345
508	115.1232008
509	115.0797185
510	115.0259728
511	115.0136516
512	114.9692711
513	114.9157384
514	114.9107791
515	114.9051468
516	114.8775825
517	114.8589921
518	114.8215134
519	114.7808108
520	114.7405023
521	114.7014425
522	114.6870662
523	114.6658994
524	114.6611918
525	114.6429355
526	114.5867023
527	114.5124449
528	114.4822738
529	114.4685408
530	114.4314357
531	114.4249771
532	114.3854514
533	114.3564343
534	114.3098842
535	114.2662331
536	114.2412906
537	114.2236018
538	114.2173039
539	114.1797196
540	114.1595441
541	114.1294959
542	114.1008602
543	114.0550595
544	114.0489129
545	114.0142578
546	113.9860875
547	113.9526717
548	113.9205681
549	113.8125077
550	113.7085356
551	113.6956719
552	113.6719188
553	113.6545801
554	113.6274258
555	113.6129408
556	113.593913
557	113.5711975
558	113.5571615
559	113.5386898
560	113.4844861
561	113.4593412
562	113.3895705
563	113.360578
564	113.3228095
565	113.2925437
566	113.2642096
567	113.2459704
568	113.2051319
569	113.1576094
570	113.1337756
571	113.1037927
572	113.0749762
573	113.0594949
574	113.0421758
575	113.0168339
576	112.9473508
577	112.9261378
578	112.8819184
579	112.8718414
580	112.8552496
581	112.8395945
582	112.773266
583	112.7532893
584	112.7115488
585	112.6991851
586	112.6785818
587	112.6689839
588	112.6596549
589	112.5956252
590	112.5783574
591	112.564527
592	112.5479677
593	112.5334373
594	112.5141968
595	112.5051161
596	112.4962888
597	112.4515629
598	112.4327938
599	112.4087893
600	112.3950608
601	112.3900239
602	112.3465518
603	112.1758137
604	112.1591848
605	112.1408083
606	112.1360267
607	112.1136844
608	112.0712294
609	112.0633026
610	112.0050043
611	111.9867588
612	111.9731905
613	111.9281004
614	111.8850386
615	111.8805756
616	111.8592203
617	111.6932894
618	111.651721
619	111.6358022
620	111.5632212
621	111.5585278
622	111.538052
623	111.4667546
624	111.4652562
625	111.4607811
626	111.4511756
627	111.4287349
628	111.4272008
629	111.2657629
630	111.2530458
631	111.2005676
632	111.1572412
633	111.1436491
634	111.1261639
635	111.0674537
636	111.0641637
637	111.0109923
638	110.9698307
639	110.9668021
640	110.953686
641	110.9406425
642	110.9391592
643	110.889832
644	110.8197128
645	110.8154636
646	110.8140865
647	110.8099406
648	110.788402
649	110.7843485
650	110.7043603
651	110.63547
652	110.6341432
653	110.6328372
654	110.6315517
655	110.584493
656	110.5766492
657	110.5738317
658	110.5516245
659	110.5344981
660	110.5331606
661	110.4891726
662	110.4715409
663	110.4376102
664	110.4010348
665	110.386675
666	110.3190612
667	110.3000089
668	110.2972529
669	110.2959757
670	110.2944386
671	110.2744646
672	110.2386599
673	110.2001584
674	110.1926762
675	110.1914478
676	110.0970202
677	110.0747046
678	110.0580605
679	110.0543044
680	110.034974
681	110.0189862
682	110.0054722
683	109.9640133
684	109.9272241
685	109.9166589
686	109.8877303
687	109.8838204
688	109.8735573
689	109.855525
690	109.8517722
691	109.839221
692	109.8255281
693	109.8100914
694	109.7198013
695	109.7046247
696	109.6975703
697	109.6950504
698	109.6779291
699	109.6614069
700	109.6466907
701	109.6119151
702	109.5778164
703	109.5452445
704	109.541143
705	109.4974551
706	109.493525
707	109.4396246
708	109.4064805
709	109.3924736
710	109.3913555
711	109.3540785
712	109.350632
713	109.2900346
714	109.2769802
715	109.2363628
716	109.1834916
717	109.164183
718	109.150251
719	109.1216695
720	109.0689046
721	109.0556565
722	109.0516433
723	109.0503481
724	109.0235624
725	108.9731211
726	108.9242869
727	108.9016574
728	108.8622902
729	108.8264666
730	108.8234289
731	108.8202906
732	108.806887
733	108.7563322
734	108.7541085
735	108.7071869
736	108.6824739
737	108.6199738
738	108.6060667
739	108.5849204
740	108.5672757
741	108.5272374
742	108.5242453
743	108.4906757
744	108.4466889
745	108.4443441
746	108.3944384
747	108.3921528
748	108.3793667
749	108.3618916
750	108.3596148
751	108.3572923
752	108.3398765
753	108.3376668
754	108.3251993
755	108.3060546
756	108.2941129
757	108.2450805
758	108.2242273
759	108.2220632
760	108.2192852
761	108.2133527
762	108.2021996
763	108.1769205
764	108.1390359
765	108.1363399
766	108.1355607
767	108.1104306
768	108.0916163
769	108.0772393
770	108.0338921
771	108.00978
772	107.9673699
773	107.9351854
774	107.9266119
775	107.9028686
776	107.8947462
777	107.8822977
778	107.8496923
779	107.8188918
780	107.7789567
781	107.7762873
782	107.7540557
783	107.7373672
784	107.6902461
785	107.6865689
786	107.6709115
787	107.6563426
788	107.6352033
789	107.5889178
790	107.5750861
791	107.5549171
792	107.5285927
793	107.5257027
794	107.5044948
795	107.5016058
796	107.4959204
797	107.4826441
798	107.4804165
799	107.4749191
800	107.4629977
801	107.4234626
802	107.4075747
803	107.3946015
804	107.3740676
805	107.319009
806	107.2964752
807	107.2774711
808	107.2639123
809	107.2365428
810	107.2182343
811	107.2129485
812	107.1987144
813	107.1859147
814	107.1793239
815	107.1742275
816	107.1633663
817	107.1469788
818	107.0946109
819	107.0928769
820	107.0816203
821	107.0318145
822	107.0038129
823	106.9912705
824	106.9438762
825	106.9416058
826	106.9158734
827	106.9136531
828	106.9073124
829	106.9011326
830	106.8808058
831	106.8563667
832	106.850077
833	106.8116972
834	106.8095032
835	106.8081058
836	106.7962086
837	106.7634971
838	106.7615196
839	106.7303097
840	106.6987426
841	106.6973785
842	106.660406
843	106.6495655
844	106.6390896
845	106.5756153
846	106.5700727
847	106.5416607
848	106.5028124
849	106.4516177
850	106.4227148
851	106.3618106
852	106.3610053
853	106.3298874
854	106.3175197
855	106.2891788
856	106.2869978
857	106.2600538
858	106.258433
859	106.2463216
860	106.2442854
861	106.2435193
862	106.22307
863	106.2215258
864	106.2150093
865	106.1871061
866	106.1865917
867	106.1717485
868	106.1449377
869	106.0784449
870	106.0141852
871	105.9526483
872	105.9505757
873	105.9247239
874	105.9137551
875	105.8953847
876	105.8355622
877	105.8244916
878	105.8091309
879	105.7985892
880	105.796488
881	105.7952064
882	105.7932127
883	105.7664254
884	105.7563219
885	105.7544277
886	105.7531811
887	105.7517095
888	105.7410837
889	105.7155152
890	105.7057541
891	105.7045393
892	105.6765181
893	105.6409675
894	105.6222727
895	105.6046162
896	105.5680008
897	105.5205774
898	105.4924965
899	105.4688914
900	105.4636398
901	105.4468384
902	105.4353997
903	105.4210111
904	105.3969643
905	105.3781408
906	105.3651226
907	105.3446757
908	105.3342999
909	105.3327055
910	105.3082407
911	105.2944468
912	105.2825689
913	105.2583238
914	105.1977223
915	105.1875792
916	105.1871426
917	105.1290381
918	105.1271731
919	105.1132857
920	105.0898844
921	105.0736597
922	105.0511505
923	105.0328649
924	105.0141727
925	105.0007122
926	104.9995018
927	104.9774153
928	104.9535434
929	104.9406794
930	104.9390103
931	104.9374194
932	104.9250536
933	104.9237815
934	104.9073608
935	104.885837
936	104.8758783
937	104.8357656
938	104.8150782
939	104.8094833
940	104.7958693
941	104.7860842
942	104.7633424
943	104.7513494
944	104.7498835
945	104.7254019
946	104.7139479
947	104.6898269
948	104.6491442
949	104.6256162
950	104.6003147
951	104.5966791
952	104.5937989
953	104.5827841
954	104.5809604
955	104.5797866
956	104.5422047
957	104.5246177
958	104.5093571
959	104.4984978
960	104.4973122
961	104.4849345
962	104.462471
963	104.4367301
964	104.4158256
965	104.3947272
966	104.3583833
967	104.3478988
968	104.3374008
969	104.3285427
970	104.3069874
971	104.2913512
972	104.2796327
973	104.2783554
974	104.2772261
975	104.2757678
976	104.2661807
977	104.2446677
978	104.228447
979	104.194913
980	104.1848607
981	104.1667839
982	104.1655581
983	104.1559465
984	104.1545509
985	104.1343776
986	104.1331815
987	104.1320901
988	104.1157776
989	104.0883352
990	104.0745451
991	104.036936
992	104.0279975
993	104.0266561
994	104.0253788
995	104.0040735
996	103.9848044
997	103.9836441
998	103.9612667
999	103.9491765
